Grand Prix,Circuit,Date,Longitude,Latitude
Bahrain,Bahrain International Circuit,Mar 2,26.0325°N,50.5106°E
Saudi Arabian,Jeddah Corniche Circuit,Mar 9,21.6319°N,39.1044°E
Emilia Romagna,Autodromo Enzo e Dino Ferrari,May 19,44.3439°N,11.7167°E
Monaco,Circuit de Monaco,May 26,43.7347°N,7.4206°E
Spanish,Circuit de Barcelona-Catalunya,Jun 23,41.5689°N,2.2569°E
Austrian,Red Bull Ring,Jun 30,47.2197°N,14.7647°E
British,Silverstone Circuit,Jul 7,52.0786°N,1.0169°W
Hungarian,Hungaroring,Jul 21,47.5830°N,19.2506°E
Belgian,Circuit de Spa-Francorchamps,Jul 28,50.4372°N,5.9714°E
Dutch,Circuit Zandvoort,Aug 25,52.3881°N,4.5419°E
Italian,Autodromo Nazionale Monza,Sep 1,45.6156°N,9.2811°E
Azerbaijan,Baku City Circuit,Sep 15,40.3725°N,49.8533°E
Qatar,Losail International Circuit,Dec 1,25.4880°N,51.4542°E
Abu Dhabi,Yas Marina Circuit,Dec 8,24.4672°N,54.6031°E
Miami,Miami International Autodrome,May 5,25.9581°N,80.2389°W
Canadian,Circuit Gilles Villeneuve,Jun 9,45.5017°N,73.5228°W
United States,Circuit of the Americas,Oct 20,30.1328°N,97.6411°W
Mexican,Autódromo Hermanos Rodríguez,Oct 27,19.4042°N,99.0907°W
Brazilian,Autódromo José Carlos Pace,Nov 3,23.7036°S,46.6997°W
Las Vegas,Las Vegas Strip Circuit,Nov 24,36.1147°N,115.1728°W
Australian,Albert Park Circuit,Mar 24,37.8497°S,144.9680°E
Japanese,Suzuka International Racing Course,Apr 7,34.8431°N,136.5410°E
Chinese,Shanghai International Circuit,Apr 21,31.3389°N,121.2208°E
Singapore,Marina Bay Street Circuit,Sep 22,1.2914°N,103.8644°E
